sentence,score,ratio
컴퓨터 업데이트가 너무 오래 걸렸다.,0.0,0.0
바다를 보니 마음이 편안해졌다.,0.0,0.0
주차 공간이 없어서 오래 헤맸다.,-1.0,-1.29
조용한 밤에 산책하니 힐링됐다.,0.0,0.0
택배가 파손돼서 짜증 났다.,-2.0,-2.57
아침에 일찍 일어나 산책했다.,0.9999999341043133,1.29
비밀번호를 잊어버려서 로그인 못 했다.,0.9999999341043133,1.29
새로운 프로젝트를 시작하게 되어 설렜다.,1.0,1.18
핸드폰이 멋대로 꺼져서 불편했다.,0.0,0.0
생일 선물을 받아서 감동했다.,2.9999999341043133,3.86
이메일이 안 보내져서 답답했다.,0.0,0.0
좋은 결과를 받아서 기뻤다.,2.0,2.86
버스를 잘못 타서 늦었다.,-1.9999999316637413,-2.86
새로 산 가방이 마음에 들어서 기분이 좋았다.,0.0,0.0
컴퓨터가 느려서 작업이 힘들었다.,0.0,0.0
좋아하는 사람과 데이트해서 행복했다.,3.0,3.86
영화를 예매했는데 자리가 없었다.,0.0,0.0
친절한 사람을 만나서 하루가 따뜻했다.,2.6309297535714578,3.38
비 오는 날 우산을 안 가져와서 젖었다.,0.0,0.0
따뜻한 차를 마시며 여유를 느꼈다.,3.0,3.86
인터넷 쇼핑 배송이 너무 느렸다.,0.0,0.0
좋은 소식을 들어서 기분이 좋아졌다.,2.0,2.57
시험 시간에 배탈이 나서 고생했다.,-0.3690701585676621,-0.44
공원에서 산책하니 기분이 상쾌했다.,0.0,0.0
버스가 너무 늦게 와서 짜증 났다.,-2.0,-2.37
오랜만에 휴식을 취해서 편안했다.,1.0,1.43
ATM이 작동하지 않아서 곤란했다.,0.0,0.0
반려동물이 귀여워서 웃음이 났다.,0.0,0.0
중요한 메일을 지워서 난감했다.,1.0,1.43
좋아하는 책을 읽으며 힐링했다.,2.9999999341043133,3.86
엘리베이터가 고장 나서 계단을 걸었다.,0.0,0.0
맛있는 커피를 마셔서 기분이 좋아졌다.,2.0,2.57
전화가 계속 안 돼서 불편했다.,0.0,0.0
새 옷을 입고 외출하니 기분이 좋았다.,0.0,0.0
지하철에서 시비가 붙어서 불쾌했다.,-2.0,-2.86
오랜만에 가족과 시간 보내서 즐거웠다.,0.6309297535714575,0.81
비 오는 날 교통이 혼잡해서 힘들었다.,0.0,0.0
맛있는 점심 먹고 산책하니 행복했다.,2.0,2.37
프린터가 안 돼서 출력 못 했다.,0.9999999341043133,1.18
조용한 카페에서 작업하니 집중됐다.,0.0,0.0
차가 막혀서 중요한 회의에 늦었다.,1.0000000683362587,1.29
좋은 꿈을 꿔서 하루가 기분 좋았다.,2.6309297535714578,3.11
무거운 짐을 들고 오래 걸었다.,-1.0,-1.29
일기예보대로 날씨가 맑아서 기뻤다.,0.0,0.0
비행기 지연으로 일정이 꼬였다.,0.0,0.0
좋은 사람들과 대화해서 즐거웠다.,3.0,3.86
은행 창구가 너무 느려서 지루했다.,0.0,0.0
햇살 좋은 날 산책하니 마음이 편했다.,2.0,2.21
전기가 나가서 불편했다.,0.0,0.0
조용한 음악을 들으며 안정됐다.,1.0,1.29
버스 안이 너무 더워서 불쾌했다.,0.0,0.0
예쁜 풍경을 보며 힐링했다.,2.9999999341043133,3.86
컴퓨터가 멈춰서 작업을 날렸다.,0.0,0.0
좋은 평가를 받아서 뿌듯했다.,2.0,2.86
